status,feasible,solve_time_sec,objective_value,total_units_shipped,total_unmet_units,total_ship_cost,total_fixed_cost,total_miles,avg_miles_per_unit,cost_per_unit,service_level,fc_count_open,fcs_open,date,scenario,scenario_label,demand_units,avg_storage_utilization
Heuristic,True,0.0,151237.44,10223.0,0.0,71518.94,78000,2260018.0,221.1,6.996,0.952,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-01-03,S1_nearest_fc,Baseline: Nearest FC,10223.0,1.8
Optimal,True,2.32,145487.16,9413.0,810.0,71648.16,54500,2871677.0,305.1,7.612,0.9539,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-01-03,S2_cost_min,Cost-Minimizing MIP,10223.0,1.9
Optimal,True,1.86,145487.16,9413.0,810.0,71648.16,54500,2871677.0,305.1,7.612,0.9539,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-01-03,S3_service_constrained,Service-Constrained MIP,10223.0,1.9
Optimal,True,1.67,146207.7,9364.0,859.0,71154.2,54500,2839086.0,303.2,7.599,0.9495,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-01-03,S4_pooled_forward,Pooled Inventory + Forward Positioning,10223.0,1.9
Heuristic,True,0.0,141328.83,8748.0,0.0,61739.83,78000,2007306.0,229.5,7.058,0.9481,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-02-23,S1_nearest_fc,Baseline: Nearest FC,8748.0,1.6
Optimal,True,1.5,131943.04,8181.0,567.0,63306.54,54500,2632211.0,321.7,7.738,0.9419,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-02-23,S2_cost_min,Cost-Minimizing MIP,8748.0,1.7
Optimal,True,1.97,131943.04,8181.0,567.0,63306.54,54500,2632211.0,321.7,7.738,0.9419,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-02-23,S3_service_constrained,Service-Constrained MIP,8748.0,1.7
Optimal,True,2.2,132380.34,8100.0,648.0,62101.84,54500,2528090.0,312.1,7.667,0.9463,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-02-23,S4_pooled_forward,Pooled Inventory + Forward Positioning,8748.0,1.7
Heuristic,True,0.0,140480.0,8636.0,0.0,60926.0,78000,1971844.0,228.3,7.055,0.9486,6,"FC_ATL,FC_DFW,FC_EWR,FC_ONT,FC_ORD,FC_PHX",2024-03-21,S1_nearest_fc,Baseline: Nearest FC,8636.0,1.6
Optimal,True,1.58,130160.36,8053.0,583.0,61374.86,54500,2464486.0,306.0,7.621,0.9482,4,"FC_ATL,FC_DFW,FC_EWR,FC_ONT",2024-03-21,S2_cost_min,Cost-Minimizing MIP,8636.0,1.6
